DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,Pass Att,Completions,Pass Yds,Pass TD,Pass Int,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD
36784913,Dallin Holker,TE/FLEX,NO,LAR,,2500,0,0.38,,0.38,0.152,0,0,0,100,23.6716,49.4632,0.383371,0,0,0,0,2.4,6.6045,0.304715,0,0,0,0,1.9,5.903,0.304715,0,0,0,0,1.9,5.903,0.383371,0,0,0,0,2.4,6.6045,1.21138,1.05963,1.05963,1.21138,0,0,0,0,0,0.157311,1.66838,0.00995556,0,0,0
36784945,Ben Sinnott,TE/FLEX,WAS,TEN,,2500,1.3,0.38,1.3,0.38,0.152,0,0,0,100,25.7926,45.400800000000004,0.384165,0,0,0,0,2.4,7.401,0.307505,0,0,0,0,1.9,6.9005,0.307505,0,0,0,0,1.9,6.9005,0.384165,0,0,0,0,2.4,7.401,1.2432,1.09358,1.09358,1.2432,0,0,0,0,0,0.15332,1.66285,0.0108,0,0,0
36784327,Tyler Goodson,RB/FLEX,IND,NE,,4000,0,0.38,0,0.38,0.095,0,0,0,100,22.3628,43.231,0.381641,0,0,0.1,0.6,2.1,6.8,0.337229,0,0,0.1,0.6,1.705,6.701,0.337229,0,0,0.1,0.6,1.705,6.701,0.381641,0,0,0.1,0.6,2.1,6.8,1.14919,1.0658,1.0658,1.14919,0,0,0,0,0,0.0888222,0.852756,0.00502222,0.286689,1.18632,0.00997778
36784409,Keilan Robinson,RB/FLEX,JAX,HOU,,4000,0,0.37,,0.37,0.0925,0,0,0,100,20.997,46.0922,0.371277,0,0,0.1,0.6,2.1,7.101,0.324057,0,0,0.1,0.5,1.7,6.801,0.324057,0,0,0.1,0.5,1.7,6.801,0.371277,0,0,0.1,0.6,2.1,7.101,1.1511,1.06299,1.06299,1.1511,0,0,0,0,0,0.09444,0.87815,0.00618,0.2559,1.03702,0.00824
36785029,MyCole Pruitt,TE/FLEX,PIT,CIN,,2500,4.1,0.36,4.1,0.36,0.14400000000000002,0,0,0,100,21.8792,46.7358,0.364206,0,0,0,0,2.4,6.1,0.290686,0,0,0,0,1.9,5.402,0.290686,0,0,0,0,1.9,5.402,0.364206,0,0,0,0,2.4,6.1,1.19313,1.04716,1.04716,1.19313,0,0,0,0,0,0.14704,1.59205,0.00966,0,0,0
36784751,Trent Sherfield Sr.,WR/FLEX,MIN,ARI,,3000,0,0.36,,0.36,0.12,0,0,0,100,25.116,46.6256,0.362749,0,0,0,0,2.3,7.5,0.28906,0,0,0,0,1.8,6.9,0.28906,0,0,0,0,1.8,6.9,0.362749,0,0,0,0,2.3,7.5,1.20845,1.06453,1.06453,1.20845,0,0,0,0,0,0.147378,1.48549,0.0112,0,0,0
36784787,Ben Skowronek,WR/FLEX,PIT,CIN,,3000,3.3,0.35,3.3,0.35,0.11666666666666667,0,0,0,100,21.8792,46.7358,0.346171,0,0,0,0,2.3,6.1,0.275452,0,0,0,0,1.8,5.205,0.275452,0,0,0,0,1.8,5.205,0.346171,0,0,0,0,2.3,6.1,1.16131,1.01892,1.01892,1.16131,0,0,0,0,0,0.14144,1.51572,0.00888,0,0,0
36785051,Ross Dwelley,TE/FLEX,ATL,LAC,,2500,0,0.35,,0.35,0.13999999999999999,0,0,0,100,23.7698,48.0796,0.346468,0,0,0,0,2.2,7.3,0.275218,0,0,0,0,1.7,6.8,0.275218,0,0,0,0,1.7,6.8,0.346468,0,0,0,0,2.2,7.3,1.17299,1.03196,1.03196,1.17299,0,0,0,0,0,0.1425,1.44108,0.01004,0,0,0
36784935,Ko Kieft,TE/FLEX,TB,CAR,,2500,0,0.35,,0.35,0.13999999999999999,0,0,0,100,26.9018,46.263000000000005,0.347938,0,0,0,0,2.3,7.3,0.280827,0,0,0,0,1.8,6.8,0.28076,0,0,0,0,1.8,6.8,0.347938,0,0,0,0,2.3,7.3,1.2124,1.0773,1.07612,1.2124,0,0,0,0,0,0.134222,1.50382,0.0105778,0,0,0
36784445,Avery Williams,RB/FLEX,ATL,LAC,,4000,0,0.34,0,0.34,0.085,0,0,0,100,23.7698,48.0796,0.341658,0,0,0,0.4,2,6.601,0.303688,0,0,0,0.4,1.6,6.5505,0.303688,0,0,0,0.4,1.6,6.5505,0.341658,0,0,0,0.4,2,6.601,1.14922,1.08034,1.08034,1.14922,0,0,0,0,0,0.07594,0.67981,0.00518,0.2072,0.83117,0.00796
